date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:17	102204/102204	---M--	200	added ('OK')	font/woff	etag:%225fd8c8e5-18f3c%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.9.1	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc2cd.woff	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1)
21:47:18	1434/1434	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c838-59a%22	http://ncg.macmar.co/wp-includes/js/wp-embed.min.js?ver=5.6	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-includes/js/wp-embed.min40df.js	(from http://ncg.macmar.co/)
21:47:23	89496/89496	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c838-15d98%22	http://ncg.macmar.co/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-includes/js/jquery/jquery.min9d52.js	(from http://ncg.macmar.co/)
21:47:23	11224/11224	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c838-2bd8%22	http://ncg.macmar.co/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://ncg.macmar.co/)
21:47:24	6595/6595	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8f777-19c3%22	http://ncg.macmar.co/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.0.8	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min6173.js	(from http://ncg.macmar.co/)
21:47:26	190360/190360	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222e798-5b6819f752998%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.9.1	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc2cd.eot	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1)
21:47:26	64122/64122	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c8e5-fa7a%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.0.14	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/js/frontend-modules.minc578.js	(from http://ncg.macmar.co/)
21:47:28	10863/10863	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c8e5-2a6f%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.8.1	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/dialog/dialog.mina288.js	(from http://ncg.macmar.co/)
21:47:28	20856/20856	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c838-5178%22	http://ncg.macmar.co/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-includes/js/jquery/ui/core.min35d0.js	(from http://ncg.macmar.co/)
21:47:30	12198/12198	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c8e5-2fa6%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from http://ncg.macmar.co/)
21:47:31	172191/172191	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8f777-2a09f%22	http://ncg.macmar.co/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.0.8	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor-pro/assets/js/frontend.min6173.js	(from http://ncg.macmar.co/)
21:47:31	2578/2578	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c8e5-a12%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.0.14	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/share-link/share-link.minc578.js	(from http://ncg.macmar.co/)
21:47:32	16154/16154	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c838-3f1a%22	http://ncg.macmar.co/wp-includes/js/underscore.min.js?ver=1.8.3	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-includes/js/underscore.min4511.js	(from http://ncg.macmar.co/)
21:47:34	190200/190200	---M--	200	added ('OK')	application/octet-stream	etag:%225fd8c8e5-2e6f8%22	http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.9.1	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc2cd.ttf	(from http://ncg.macmar.co/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1)
21:47:34	1079/1079	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fd8c838-437%22	http://ncg.macmar.co/wp-includes/js/wp-util.min.js?ver=5.6	D:/src/NeverClog/Never%20Clog/ncg.macmar.co/wp-includes/js/wp-util.min40df.js	(from http://ncg.macmar.co/)
